feature,snr,dist_mean,dist_std,score_mean,score_std,dist_increase,score_drop
gfcc,clean,0.0848,0.0481,97.8789,1.2017,0.0000,0.0000
gfcc,snr20,3.0364,0.1534,24.0898,3.8358,2.9516,73.7892
gfcc,snr10,3.2689,0.1028,18.2780,2.5700,3.1840,79.6009
gfcc,snr05,3.3575,0.1070,16.0621,2.6747,3.2727,81.8168
mfcc,clean,0.0785,0.0371,98.0380,0.9284,0.0000,0.0000
mfcc,snr20,3.1857,0.1433,20.3567,3.5827,3.1072,77.6812
mfcc,snr10,3.4884,0.1078,12.7906,2.6950,3.4099,85.2473
mfcc,snr05,3.6156,0.1209,9.6095,3.0236,3.5371,88.4285
