feature,snr,mean_score,std_score,mean_drop
gfcc,clean,38.26147705772323,20.76925495959488,7.105427357601002e-15
gfcc,snr20,1.089987124187758e-15,1.59893797757195e-15,38.26147705772324
gfcc,snr10,3.3228281046503784e-17,6.06905115887317e-17,38.26147705772324
gfcc,snr05,1.032399710872153e-17,2.201431217863329e-17,38.26147705772324
mfcc,clean,38.900230319641466,16.295707520609884,-7.105427357601002e-15
mfcc,snr20,1.300476255549849e-16,2.6956515367740906e-16,38.90023031964146
mfcc,snr10,1.8711633022702598e-18,3.750104405449205e-18,38.90023031964146
mfcc,snr05,5.163977743188188e-19,1.2466764196780619e-18,38.90023031964146
